Date,Visitor,G_Visitor,Home,G_Home,attendance,LOG,Notes
4/17/2023,New York Islanders,1,Carolina Hurricanes,2,"18,680",2:36,
4/17/2023,Minnesota Wild,3,Dallas Stars,2,"18,532",4:10,
4/17/2023,Los Angeles Kings,4,Edmonton Oilers,3,"18,347",3:09,
4/17/2023,Florida Panthers,1,Boston Bruins,3,"17,850",2:41,
4/18/2023,Seattle Kraken,3,Colorado Avalanche,1,"18,138",2:22,
4/18/2023,New York Rangers,5,New Jersey Devils,1,"16,514",2:39,
4/18/2023,Tampa Bay Lightning,7,Toronto Maple Leafs,3,"19,013",2:39,
4/18/2023,Winnipeg Jets,5,Vegas Golden Knights,1,"18,006",2:29,
4/19/2023,Los Angeles Kings,2,Edmonton Oilers,4,"18,347",2:29,
4/19/2023,Minnesota Wild,3,Dallas Stars,7,"18,532",2:40,
4/19/2023,New York Islanders,3,Carolina Hurricanes,4,"18,680",2:52,
4/19/2023,Florida Panthers,6,Boston Bruins,3,"17,850",2:53,
4/20/2023,Seattle Kraken,2,Colorado Avalanche,3,"18,141",2:31,
4/20/2023,New York Rangers,5,New Jersey Devils,1,"16,760",2:38,
4/20/2023,Tampa Bay Lightning,2,Toronto Maple Leafs,7,"19,128",2:48,
4/20/2023,Winnipeg Jets,2,Vegas Golden Knights,5,"18,333",2:38,
4/21/2023,Boston Bruins,4,Florida Panthers,2,"19,910",2:30,
4/21/2023,Edmonton Oilers,2,Los Angeles Kings,3,"18,230",2:58,
4/21/2023,Dallas Stars,1,Minnesota Wild,5,"19,309",2:35,
4/21/2023,Carolina Hurricanes,1,New York Islanders,5,"17,255",2:37,
4/22/2023,Vegas Golden Knights,5,Winnipeg Jets,4,"15,324",3:39,
4/22/2023,Toronto Maple Leafs,4,Tampa Bay Lightning,3,"19,092",3:19,
4/22/2023,Colorado Avalanche,6,Seattle Kraken,4,"17,151",2:33,
4/22/2023,New Jersey Devils,2,New York Rangers,1,"18,006",2:59,
4/23/2023,Edmonton Oilers,5,Los Angeles Kings,4,"18,367",3:03,
4/23/2023,Dallas Stars,3,Minnesota Wild,2,"19,331",2:28,
4/23/2023,Carolina Hurricanes,5,New York Islanders,2,"17,255",2:36,
4/23/2023,Boston Bruins,6,Florida Panthers,2,"19,771",2:47,
4/24/2023,New Jersey Devils,3,New York Rangers,1,"18,006",2:29,
4/24/2023,Colorado Avalanche,2,Seattle Kraken,3,"17,151",2:59,
4/24/2023,Toronto Maple Leafs,5,Tampa Bay Lightning,4,"19,092",2:56,
4/24/2023,Vegas Golden Knights,4,Winnipeg Jets,2,"15,324",2:31,
4/25/2023,Los Angeles Kings,3,Edmonton Oilers,6,"18,347",2:28,
4/25/2023,Minnesota Wild,0,Dallas Stars,4,"18,532",2:29,
4/25/2023,New York Islanders,3,Carolina Hurricanes,2,"18,680",2:40,
4/26/2023,Florida Panthers,4,Boston Bruins,3,"17,850",3:02,
4/26/2023,Seattle Kraken,3,Colorado Avalanche,2,"18,143",2:29,
4/27/2023,New York Rangers,0,New Jersey Devils,4,"17,114",2:25,
4/27/2023,Tampa Bay Lightning,4,Toronto Maple Leafs,2,"19,663",2:35,
4/27/2023,Winnipeg Jets,1,Vegas Golden Knights,4,"18,476",2:36,
4/28/2023,Boston Bruins,5,Florida Panthers,7,"18,911",2:38,
4/28/2023,Dallas Stars,4,Minnesota Wild,1,"19,389",2:23,
4/28/2023,Carolina Hurricanes,2,New York Islanders,1,"17,255",2:52,
4/28/2023,Colorado Avalanche,4,Seattle Kraken,1,"17,151",2:31,
4/29/2023,Toronto Maple Leafs,2,Tampa Bay Lightning,1,"19,092",2:46,
4/29/2023,Edmonton Oilers,5,Los Angeles Kings,4,"18,230",2:31,
4/29/2023,New Jersey Devils,2,New York Rangers,5,"18,006",2:27,
4/30/2023,Florida Panthers,4,Boston Bruins,3,"17,850",3:10,
4/30/2023,Seattle Kraken,2,Colorado Avalanche,1,"18,143",2:33,
5/1/2023,New York Rangers,0,New Jersey Devils,4,"17,241",2:26,
5/2/2023,Seattle Kraken,5,Dallas Stars,4,"18,532",3:07,
5/2/2023,Florida Panthers,4,Toronto Maple Leafs,2,"19,244",2:35,
5/3/2023,New Jersey Devils,1,Carolina Hurricanes,5,"18,735",2:26,
5/3/2023,Edmonton Oilers,4,Vegas Golden Knights,6,"18,243",2:36,
5/4/2023,Seattle Kraken,2,Dallas Stars,4,"18,532",2:32,
5/4/2023,Florida Panthers,3,Toronto Maple Leafs,2,"19,387",2:32,
5/5/2023,New Jersey Devils,1,Carolina Hurricanes,6,"18,982",2:31,
5/6/2023,Edmonton Oilers,5,Vegas Golden Knights,1,"18,504",2:50,
5/7/2023,Toronto Maple Leafs,2,Florida Panthers,3,"19,911",2:48,
5/7/2023,Carolina Hurricanes,4,New Jersey Devils,8,"16,514",2:27,
5/7/2023,Dallas Stars,2,Seattle Kraken,7,"17,151",2:34,
5/8/2023,Vegas Golden Knights,5,Edmonton Oilers,1,"18,347",2:39,
5/9/2023,Carolina Hurricanes,6,New Jersey Devils,1,"17,016",2:25,
5/9/2023,Dallas Stars,6,Seattle Kraken,3,"17,151",2:36,
5/10/2023,Vegas Golden Knights,1,Edmonton Oilers,4,"18,347",2:38,
5/10/2023,Toronto Maple Leafs,2,Florida Panthers,1,"19,868",2:21,
5/11/2023,Seattle Kraken,2,Dallas Stars,5,"18,532",2:28,
5/11/2023,New Jersey Devils,2,Carolina Hurricanes,3,"18,841",3:00,
5/12/2023,Florida Panthers,3,Toronto Maple Leafs,2,"19,513",3:22,
5/12/2023,Edmonton Oilers,3,Vegas Golden Knights,4,"18,519",2:40,
5/13/2023,Dallas Stars,3,Seattle Kraken,6,"17,151",2:37,
5/14/2023,Vegas Golden Knights,5,Edmonton Oilers,2,"18,347",2:27,
5/15/2023,Seattle Kraken,1,Dallas Stars,2,"18,756",2:21,
5/18/2023,Florida Panthers,3,Carolina Hurricanes,2,"18,680",5:44,
5/19/2023,Dallas Stars,3,Vegas Golden Knights,4,"18,271",2:51,
5/20/2023,Florida Panthers,2,Carolina Hurricanes,1,"18,854",2:54,
5/21/2023,Dallas Stars,2,Vegas Golden Knights,3,"18,358",2:47,
5/22/2023,Carolina Hurricanes,0,Florida Panthers,1,"19,873",2:34,
5/23/2023,Vegas Golden Knights,4,Dallas Stars,0,"18,532",2:29,
5/24/2023,Carolina Hurricanes,3,Florida Panthers,4,"20,065",2:37,
5/25/2023,Vegas Golden Knights,2,Dallas Stars,3,"18,532",2:41,
5/27/2023,Dallas Stars,4,Vegas Golden Knights,2,"18,546",2:26,
5/29/2023,Vegas Golden Knights,6,Dallas Stars,0,"18,532",2:20,
6/3/2023,Florida Panthers,2,Vegas Golden Knights,5,"18,432",2:46,
6/5/2023,Florida Panthers,2,Vegas Golden Knights,7,"18,561",2:42,
6/8/2023,Vegas Golden Knights,2,Florida Panthers,3,"19,735",2:59,
6/10/2023,Vegas Golden Knights,3,Florida Panthers,2,"19,986",2:38,
6/13/2023,Florida Panthers,3,Vegas Golden Knights,9,"19,058",2:35,
